"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Множество невалидных email должны быть отклонены [12] user@example-.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","469","Неуспешный логин с пустым паролем","","Fri Feb 13 09:37:38 UTC 2026","passed","Fri Feb 13 09:37:38 UTC 2026","","Тесты страницы логина","ui.tests.LoginTest","emptyPasswordTest"
"","170","GET /posts?userId=1 - фильтрация по пользователю","","Fri Feb 13 09:38:12 UTC 2026","passed","Fri Feb 13 09:38:12 UTC 2026","","JSONPlaceholder API тесты","api.JsonPlaceholderTest","shouldGetPostsByUserId"
"","0","Множество валидных email должны проходить проверку [2] user.name@test.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldAcceptVariousValidEmails"
"","1","Множество валидных email должны проходить проверку [8] user@sub.domain.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldAcceptVariousValidEmails"
"","179","Dropdown: выбор значения из списка","","Fri Feb 13 09:38:02 UTC 2026","passed","Fri Feb 13 09:38:02 UTC 2026","","UI тесты на Selenide","ui.SelenideTest","dropdownTest"
"","8353","Клик по обоим чекбоксам","","Fri Feb 13 09:37:26 UTC 2026","passed","Fri Feb 13 09:37:34 UTC 2026","","Тесты страницы с чекбоксами","ui.tests.CheckboxesTest","clickBothCheckboxesTest"
"","6647","Удаление и добавление чекбокса","","Fri Feb 13 09:37:46 UTC 2026","passed","Fri Feb 13 09:37:53 UTC 2026","","Тесты страницы Dynamic Controls","ui.tests.DynamicControlsTest","removeAndAddCheckboxTest"
"","0","Множество валидных email должны проходить проверку [7] user@test.travel","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldAcceptVariousValidEmails"
"","1","Множество невалидных email должны быть отклонены [7] .user@example.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","6602","Dynamic Controls: удалить и добавить чекбокс","","Fri Feb 13 09:38:02 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","UI тесты на Selenide","ui.SelenideTest","dynamicControlsCheckboxTest"
"","1","Множество невалидных email должны быть отклонены [1] user@.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","456","Неуспешный логин с пустым логином","","Fri Feb 13 09:37:36 UTC 2026","passed","Fri Feb 13 09:37:36 UTC 2026","","Тесты страницы логина","ui.tests.LoginTest","emptyUsernameTest"
"","3444","Dynamic Controls: включить/выключить поле ввода","","Fri Feb 13 09:37:53 UTC 2026","passed","Fri Feb 13 09:37:56 UTC 2026","","UI тесты на Selenide","ui.SelenideTest","dynamicControlsInputTest"
"","513","Успешный логин с валидными данными","","Fri Feb 13 09:37:37 UTC 2026","passed","Fri Feb 13 09:37:37 UTC 2026","","Тесты страницы логина","ui.tests.LoginTest","successfulLoginTest"
"","0","Множество валидных email должны проходить проверку [3] user+filter@test.co.uk","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldAcceptVariousValidEmails"
"","134","Множество валидных email должны проходить проверку [1] user@test.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldAcceptVariousValidEmails"
"","1","Множество валидных email должны проходить проверку [4] user_name@test.io","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldAcceptVariousValidEmails"
"","1","Множество валидных email должны проходить проверку [6] user@test-domain.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldAcceptVariousValidEmails"
"","1401","Закрытие flash-сообщения","","Fri Feb 13 09:37:35 UTC 2026","passed","Fri Feb 13 09:37:36 UTC 2026","","Тесты страницы логина","ui.tests.LoginTest","closeFlashMessageTest"
"","1","Множество невалидных email должны быть отклонены [3] user@domain","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","0","Множество невалидных email должны быть отклонены [10] user@example.c","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","1","Множество невалидных email должны быть отклонены [11] user@.example.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","124","Проверка состояния по умолчанию","","Fri Feb 13 09:37:34 UTC 2026","passed","Fri Feb 13 09:37:34 UTC 2026","","Тесты страницы с чекбоксами","ui.tests.CheckboxesTest","defaultStateTest"
"","134","Проверка состояния по умолчанию","","Fri Feb 13 09:37:39 UTC 2026","passed","Fri Feb 13 09:37:39 UTC 2026","","Тесты выпадающего списка","ui.tests.DropdownTest","defaultStateTest"
"","6908","Включение и отключение поля ввода","","Fri Feb 13 09:37:39 UTC 2026","passed","Fri Feb 13 09:37:46 UTC 2026","","Тесты страницы Dynamic Controls","ui.tests.DynamicControlsTest","enableAndDisableInputTest"
"","2344","POST /posts - создать новый пост","","Fri Feb 13 09:38:10 UTC 2026","passed","Fri Feb 13 09:38:12 UTC 2026","","JSONPlaceholder API тесты","api.JsonPlaceholderTest","shouldCreateNewPost"
"","193","Клик по первому чекбоксу","","Fri Feb 13 09:37:34 UTC 2026","passed","Fri Feb 13 09:37:34 UTC 2026","","Тесты страницы с чекбоксами","ui.tests.CheckboxesTest","clickFirstCheckboxTest"
"","0","Множество невалидных email должны быть отклонены [6] user@example.com.","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","1","Множество невалидных email должны быть отклонены [13] user@-example-.com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","1","Множество невалидных email должны быть отклонены [8] user@example..com","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldRejectVariousInvalidEmails"
"","319","Checkboxes: отметить и снять галочку","","Fri Feb 13 09:38:02 UTC 2026","passed","Fri Feb 13 09:38:02 UTC 2026","","UI тесты на Selenide","ui.SelenideTest","checkboxesTest"
"","165","Выбор опции по индексу","","Fri Feb 13 09:37:39 UTC 2026","passed","Fri Feb 13 09:37:39 UTC 2026","","Тесты выпадающего списка","ui.tests.DropdownTest","selectByIndexTest"
"","497","Неуспешный логин с неправильным паролем","","Fri Feb 13 09:37:37 UTC 2026","passed","Fri Feb 13 09:37:38 UTC 2026","","Тесты страницы логина","ui.tests.LoginTest","invalidPasswordTest"
"","529","Успешный логин через единый метод login","","Fri Feb 13 09:37:36 UTC 2026","passed","Fri Feb 13 09:37:37 UTC 2026","","Тесты страницы логина","ui.tests.LoginTest","successfulLoginWithSingleMethodTest"
"","1","Email без @ должен быть невалидным","","Fri Feb 13 09:38:09 UTC 2026","passed","Fri Feb 13 09:38:09 UTC 2026","","unit.UserValidationTest","unit.UserValidationTest","shouldReturnFalseWhenEmailDoesNotContainAt"
